ARTEMIS(あるてみす),二刀追うものは一刀も得ず
田辺組,ゼロ○の使い魔～魔触の宴～
田辺組,おやすみレイパー2
Parthenon（パルテノン）,俺のニオイは発情スイッチ
Parthenon（パルテノン）,Temptation Refine
Parthenon（パルテノン）,からふるエデュケーション
Parthenon（パルテノン）,なるきす
Parthenon（パルテノン）,らぶりながっこうせいかつ
Parthenon（パルテノン）,らぶりながっこうせいかつomake
Parthenon（パルテノン）,憧れのお姉ちゃんは調教志願者？！
Parthenon（パルテノン）,純潔のソフィア～闇の精液を清純なるエルフの膣穴に～
Parthenon（パルテノン）,堕としアナ
Parthenon（パルテノン）,妃喰要塞 蜜壺の姫君
Parthenon（パルテノン）,露出彼女
Parthenon（パルテノン）,少女玩具に忘却の褥を～健忘陵辱～
Parthenon（パルテノン）,らぶりの夏休み～おじさんかんさつにっき～
ソフトさーくるクレージュ,ハメ撮り実況中継！兄妹初エッチ12時間
ソフトさーくるクレージュ,みずぎ姉妹 エロエロ×ツンツン×ヘンタイ！
ソフトさーくるクレージュ,DISCODE-2
ORC SOFT,愛妻日記 愛妻寝取られAVG
クレージュA(エース),絶対服従催眠アプリ～憧れの先輩は僕の操り人形～
ORCSOFT／DWARFSOFT,愛妻日記 愛妻寝取られAVG
